converged SCF energy = -99.8206324520548  <S^2> = 8.8817842e-16  2S+1 = 1
Training epoch:   0%|          | 0/1000 [00:00<?, ?it/s]Iteration 0 Predicted energy: -89.27995480458739 Cost value: 111.10588526781898 Grad:  (Array(46.83362, dtype=float32), Array(-4.868678, dtype=float32))
Training epoch:   0%|          | 1/1000 [00:12<3:26:26, 12.40s/it]Iteration 1 Predicted energy: -89.61734432070381 Cost value: 104.10708869136793 Grad:  (Array(16.212242, dtype=float32), Array(-89.161995, dtype=float32))
Training epoch:   0%|          | 2/1000 [00:16<2:08:05,  7.70s/it]Iteration 2 Predicted energy: -90.316134866106 Cost value: 90.33547436130652 Grad:  (Array(130.2057, dtype=float32), Array(-7.3195863, dtype=float32))
Training epoch:   0%|          | 3/1000 [00:20<1:41:11,  6.09s/it]Iteration 3 Predicted energy: -90.99696841563703 Cost value: 77.85704702757229 Grad:  (Array(5.547296, dtype=float32), Array(-7.898156, dtype=float32))
Training epoch:   0%|          | 4/1000 [00:25<1:28:39,  5.34s/it]Iteration 4 Predicted energy: -90.91701627941723 Cost value: 79.27438094965328 Grad:  (Array(17.756815, dtype=float32), Array(-39.243774, dtype=float32))
Training epoch:   0%|          | 5/1000 [00:29<1:24:00,  5.07s/it]Iteration 5 Predicted energy: -90.95393868715843 Cost value: 78.61825832045213 Grad:  (Array(16.417433, dtype=float32), Array(-109.59186, dtype=float32))
Training epoch:   1%|          | 6/1000 [00:34<1:19:24,  4.79s/it]Iteration 6 Predicted energy: -91.49896952301043 Cost value: 69.25007390463124 Grad:  (Array(12.948746, dtype=float32), Array(-3.7493968, dtype=float32))
Training epoch:   1%|          | 7/1000 [00:38<1:15:54,  4.59s/it]Iteration 7 Predicted energy: -91.60645283149367 Cost value: 67.47274683884172 Grad:  (Array(57.43283, dtype=float32), Array(-1.2924125, dtype=float32))
Training epoch:   1%|          | 8/1000 [00:42<1:13:52,  4.47s/it]Iteration 8 Predicted energy: -91.50361330885639 Cost value: 69.17280742832878 Grad:  (Array(34.837883, dtype=float32), Array(-10.822966, dtype=float32))
Training epoch:   1%|          | 9/1000 [00:46<1:12:39,  4.40s/it]Iteration 9 Predicted energy: -91.3741979918005 Cost value: 71.34225509137127 Grad:  (Array(8.38048, dtype=float32), Array(-18.27849, dtype=float32))
Training epoch:   1%|          | 10/1000 [00:50<1:11:40,  4.34s/it]Iteration 10 Predicted energy: -91.71580933925024 Cost value: 65.68815768985088 Grad:  (Array(5.9953785, dtype=float32), Array(-10.606771, dtype=float32))
Training epoch:   1%|          | 11/1000 [00:55<1:10:50,  4.30s/it]Iteration 11 Predicted energy: -91.88659651264179 Cost value: 62.948926287897244 Grad:  (Array(41.659496, dtype=float32), Array(-4.1110997, dtype=float32))
Training epoch:   1%|          | 12/1000 [00:59<1:10:31,  4.28s/it]Iteration 12 Predicted energy: -91.77134905557647 Cost value: 64.79096319682172 Grad:  (Array(11.6349325, dtype=float32), Array(-36.66716, dtype=float32))
Training epoch:   1%|▏         | 13/1000 [01:03<1:09:57,  4.25s/it]Iteration 13 Predicted energy: -91.77059700648785 Cost value: 64.80307067488425 Grad:  (Array(10.843931, dtype=float32), Array(-53.1249, dtype=float32))
Training epoch:   1%|▏         | 14/1000 [01:07<1:09:24,  4.22s/it]Iteration 14 Predicted energy: -91.90250005574926 Cost value: 62.69682064542327 Grad:  (Array(79.23456, dtype=float32), Array(-3.2737098, dtype=float32))
Training epoch:   2%|▏         | 15/1000 [01:11<1:09:15,  4.22s/it]Iteration 15 Predicted energy: -92.00567400001565 Cost value: 61.07357560709815 Grad:  (Array(6.5532837, dtype=float32), Array(-29.157543, dtype=float32))
Training epoch:   2%|▏         | 16/1000 [01:16<1:09:00,  4.21s/it]Iteration 16 Predicted energy: -92.03633686296516 Cost value: 60.59525781832039 Grad:  (Array(4.7983055, dtype=float32), Array(-12.75978, dtype=float32))
Training epoch:   2%|▏         | 17/1000 [01:20<1:08:42,  4.19s/it]Iteration 17 Predicted energy: -92.10940731346359 Cost value: 59.46299313804092 Grad:  (Array(47.153652, dtype=float32), Array(-5.2901797, dtype=float32))
Training epoch:   2%|▏         | 18/1000 [01:24<1:08:51,  4.21s/it]Iteration 18 Predicted energy: -92.14890218613458 Cost value: 58.855445273036295 Grad:  (Array(7.3364153, dtype=float32), Array(-30.265707, dtype=float32))
Training epoch:   2%|▏         | 19/1000 [01:28<1:08:59,  4.22s/it]Iteration 19 Predicted energy: -92.08290681945068 Cost value: 59.87239796545868 Grad:  (Array(7.962473, dtype=float32), Array(-33.808807, dtype=float32))
Training epoch:   2%|▏         | 20/1000 [01:32<1:08:53,  4.22s/it]Iteration 20 Predicted energy: -92.0228187600978 Cost value: 60.80589837447189 Grad:  (Array(38.2412, dtype=float32), Array(-2.6941314, dtype=float32))
Training epoch:   2%|▏         | 21/1000 [01:37<1:08:46,  4.22s/it]Iteration 21 Predicted energy: -92.0787961459776 Cost value: 59.9360293900949 Grad:  (Array(10.170434, dtype=float32), Array(-12.440224, dtype=float32))
Training epoch:   2%|▏         | 22/1000 [01:41<1:08:53,  4.23s/it]Iteration 22 Predicted energy: -92.16563033019914 Cost value: 58.59905748561465 Grad:  (Array(5.520433, dtype=float32), Array(-25.055887, dtype=float32))
Training epoch:   2%|▏         | 23/1000 [01:45<1:08:55,  4.23s/it]Iteration 23 Predicted energy: -92.21242904181983 Cost value: 57.88475913151093 Grad:  (Array(38.589573, dtype=float32), Array(-4.049078, dtype=float32))
Training epoch:   2%|▏         | 24/1000 [01:49<1:08:43,  4.22s/it]Iteration 24 Predicted energy: -92.23015303974992 Cost value: 57.61537770862413 Grad:  (Array(1.647721, dtype=float32), Array(-22.227074, dtype=float32))
Training epoch:   2%|▎         | 25/1000 [01:53<1:08:16,  4.20s/it]Iteration 25 Predicted energy: -92.25344045738818 Cost value: 57.26239468414651 Grad:  (Array(2.438331, dtype=float32), Array(-17.426157, dtype=float32))
Training epoch:   3%|▎         | 26/1000 [01:58<1:08:32,  4.22s/it]Iteration 26 Predicted energy: -92.29032111023795 Cost value: 56.70558890469535 Grad:  (Array(36.299168, dtype=float32), Array(-3.4456584, dtype=float32))
